smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
CCN1/C(=C\C(=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])OC)Sc2ccc(OC)cc21,CHEMBL515787,518.6820000000002,4.593600000000005,8.0,0.0,82.78000000000002,5.136677139879544
O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,CHEMBL549646,331.7550000000001,3.147400000000002,5.0,3.0,82.7,4.301029995663981
O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,CHEMBL549646,331.7550000000001,3.147400000000002,5.0,3.0,82.7,4.301029995663981
O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,CHEMBL560136,331.7550000000001,3.147400000000002,5.0,3.0,82.7,4.301029995663981
O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,CHEMBL560136,331.7550000000001,3.147400000000002,5.0,3.0,82.7,4.301029995663981
N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,CHEMBL560392,322.32,2.365680000000001,6.0,3.0,106.49000000000001,4.301029995663981
N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,CHEMBL560392,322.32,2.365680000000001,6.0,3.0,106.49000000000001,4.301029995663981
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,302.23800000000006,1.988,7.0,5.0,131.36,4.301029995663981
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,302.23800000000006,1.988,7.0,5.0,131.36,5.0915149811213505
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,CHEMBL556501,314.249,2.3055000000000008,7.0,3.0,109.36000000000001,4.301029995663981
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,CHEMBL556501,314.249,2.3055000000000008,7.0,3.0,109.36000000000001,4.301029995663981
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL550256,426.80800000000016,4.514800000000003,7.0,4.0,120.36000000000001,4.679853713888946
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL550256,426.80800000000016,4.514800000000003,7.0,4.0,120.36000000000001,5.3872161432802645
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL551130,426.80800000000016,4.514800000000003,7.0,4.0,120.36000000000001,4.301029995663981
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL551130,426.80800000000016,4.514800000000003,7.0,4.0,120.36000000000001,5.2839966563652006
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,CHEMBL551131,417.3730000000001,3.733080000000002,8.0,4.0,144.14999999999998,4.5951662833800615
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,CHEMBL551131,417.3730000000001,3.733080000000002,8.0,4.0,144.14999999999998,5.568636235841013
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL551334,438.81900000000013,4.832300000000003,7.0,2.0,98.36000000000001,4.301029995663981
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,CHEMBL551334,438.81900000000013,4.832300000000003,7.0,2.0,98.36000000000001,5.031517051446065
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL560933,438.81900000000013,4.832300000000003,7.0,2.0,98.36000000000001,4.301029995663981
O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,CHEMBL560933,438.81900000000013,4.832300000000003,7.0,2.0,98.36000000000001,4.8124792791635365
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,CHEMBL551529,429.3840000000002,4.050580000000002,8.0,2.0,122.15,4.367542707815276
N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,CHEMBL551529,429.3840000000002,4.050580000000002,8.0,2.0,122.15,5.0915149811213505
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHEMBL1448,327.12300000000005,3.859500000000001,4.0,2.0,92.47,4.3979400086720375
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,CHEMBL301982,450.6190000000003,6.697700000000006,3.0,2.0,74.6,4.987162775294828
COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,CHEMBL54804,464.64600000000036,6.786100000000007,4.0,1.0,63.60000000000001,5.259637310505756
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,CHEMBL432519,420.59300000000025,6.421900000000006,3.0,1.0,54.37,5.00436480540245
CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,CHEMBL1092796,404.5940000000003,7.1630000000000065,2.0,1.0,37.3,5.585026652029182
Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,CHEMBL1092797,452.63500000000033,6.643920000000007,3.0,3.0,77.76,4.663540266151471
